CN:397 16/04/2022 09:17:31 Q:-1 ID:B000462-FT Fixture:
CN:397 16/04/2022 10:12:17 Q:-1 ID:B000462-FT Fixture:
CN:397 16/04/2022 14:15:58 Q:-1 ID:B000488-FT Fixture:4PCBAF/TA00004
CN:397 16/04/2022 17:51:34 Q:-1 ID:B000477-FT Fixture:PCBA
CN:397 16/04/2022 19:10:15 Q:-1 ID:B000375-FT Fixture:
CN:397 17/04/2022 00:52:53 Q:-1 ID:B000375-FT Fixture:4PCBAF/TA00002
CN:397 17/04/2022 00:53:07 Q:-1 ID:B000375-FT Fixture:4PCBAF/TA00002
CN:397 18/04/2022 09:03:15 Q:-1 ID:B000505-FT Fixture:4PCBAF/TA00026
CN:397 18/04/2022 11:04:08 Q:-1 ID:B000359-FT Fixture:
CN:397 18/04/2022 14:21:14 Q:-1 ID:B000488-FT Fixture:
CN:397 18/04/2022 14:39:35 Q:-1 ID:B000029-FT Fixture:
CN:397 18/04/2022 17:10:28 Q:-2 ID: Fixture: OUT
CN:397 18/04/2022 17:39:49 Q:-1 ID:B000502-FT Fixture:
CN:397 18/04/2022 22:14:37 Q:-1 ID:B000310-FT Fixture:PCBA
CN:397 19/04/2022 11:02:44 Q:-1 ID:B000488-FT Fixture:4PCBAF/TA00001
CN:397 20/04/2022 00:33:07 Q:-1 ID:B000200-FT Fixture:
CN:397 20/04/2022 00:33:21 Q:-1 ID:B000200-FT Fixture:
CN:397 25/04/2022 06:24:15 Q:-1 ID:B000200-FT Fixture:
CN:397 25/04/2022 07:42:45 Q:-1 ID:B000359-FT Fixture:4PCBAF/TA00001
CN:397 25/04/2022 10:25:39 Q:-1 ID:B000488-FT Fixture:4PCBAF/TA00001
CN:397 25/04/2022 17:56:57 Q:-2 ID:B000490-FT Fixture:TS
CN:397 07/05/2022 07:28:57 Q:-1 ID:B000200-FT Fixture:4PCBAF/TA00026
CN:397 07/05/2022 14:53:23 Q:-1 ID:B000200-FT Fixture:4PCBAF/TA00016
CN:397 10/05/2022 22:10:15 Q:-1 ID:B000253-FT Fixture:
CN:397 11/05/2022 23:45:03 Q:-1 ID:B000253-FT Fixture:
CN:397 12/05/2022 22:24:25 Q:-1 ID:B000375-FT Fixture:
CN:397 13/05/2022 00:59:20 Q:-1 ID:B000253-FT Fixture:
CN:397 13/05/2022 11:27:51 Q:-1 ID:B000488-FT Fixture:
CN:397 13/05/2022 12:17:22 Q:-1 ID:B000343-FT Fixture:4PCBAF/TA00003
CN:397 13/05/2022 16:59:28 Q:-1 ID:B000375-FT Fixture:
CN:397 13/05/2022 19:36:16 Q:-1 ID:B000369-FT Fixture:
CN:397 13/05/2022 22:36:59 Q:-1 ID:B000375-FT Fixture:
CN:397 13/05/2022 23:58:03 Q:-1 ID:B000253-FT Fixture:
CN:397 14/05/2022 01:00:40 Q:-1 ID:B000253-FT Fixture:
CN:397 16/05/2022 17:03:50 Q:-1 ID: Fixture: OUT
CN:397 16/05/2022 17:25:40 Q:-1 ID: Fixture: OUT
CN:397 16/05/2022 19:36:48 Q:-1 ID:B000369-FT Fixture:
CN:397 17/05/2022 00:44:33 Q:-1 ID:B000369-FT Fixture:
CN:397 17/05/2022 00:45:47 Q:-1 ID: Fixture: OUT
CN:397 17/05/2022 09:24:27 Q:-2 ID: Fixture: OUT
CN:397 17/05/2022 16:03:34 Q:-1 ID:B000200-FT Fixture:
CN:397 17/05/2022 16:19:57 Q:-1 ID: Fixture: OUT
CN:397 17/05/2022 22:43:46 Q:-2 ID:B000386-FT Fixture:
CN:397 18/05/2022 01:24:52 Q:-1 ID:B000386-FT Fixture:
CN:397 18/05/2022 02:57:11 Q:-2 ID:B000375-FT Fixture:
CN:397 18/05/2022 10:50:04 Q:-1 ID:B000464-FT Fixture:
CN:397 18/05/2022 14:26:57 Q:-1 ID:B000371-FT Fixture:
CN:397 18/05/2022 18:33:11 Q:-1 ID:B000142-FT Fixture:
CN:397 18/05/2022 19:05:15 Q:-1 ID:B000375-FT Fixture:
CN:397 18/05/2022 19:19:59 Q:-1 ID:B000150-FT Fixture:
CN:397 18/05/2022 19:24:42 Q:-1 ID:B000386-FT Fixture:
CN:397 19/05/2022 01:57:17 Q:-1 ID:B000371-FT Fixture:FTA3
CN:397 19/05/2022 02:43:15 Q:-1 ID:B000465-FT Fixture:TE4
CN:397 19/05/2022 06:16:46 Q:-1 ID:B000613-FT Fixture:4PCBAF/TA00004
CN:397 19/05/2022 06:43:31 Q:-1 ID:B000436-FT Fixture:4PCBAF/TA00023
CN:397 19/05/2022 10:07:20 Q:-1 ID:B000612-FT Fixture:4PCBAF/TA00007
CN:397 19/05/2022 10:49:46 Q:-1 ID:B000166-FT Fixture:
CN:397 19/05/2022 23:50:39 Q:-1 ID:B000465-FT Fixture:
CN:397 20/05/2022 00:23:29 Q:-1 ID:B000465-FT Fixture:
CN:397 20/05/2022 00:56:19 Q:-1 ID:B000200-FT Fixture:
CN:397 25/05/2022 20:34:36 Q:-1 ID:B000083-FT Fixture:
CN:397 26/05/2022 23:08:37 Q:-1 ID:B000083-FT Fixture:
CN:397 02/06/2022 09:50:23 Q:-1 ID:B000250-FT Fixture:
CN:397 02/06/2022 10:32:58 Q:-1 ID: Fixture:4PCBAF/TA00200
CN:397 02/06/2022 12:56:12 Q:-1 ID:B000160-FT Fixture:
CN:397 02/06/2022 14:34:43 Q:-1 ID:B000029-FT Fixture:
CN:397 02/06/2022 16:19:09 Q:-1 ID:B000414-FT Fixture:
CN:397 02/06/2022 18:44:55 Q:-1 ID:B000148-FT Fixture:
CN:397 02/06/2022 21:29:18 Q:-1 ID:B000465-FT Fixture:
CN:397 03/06/2022 00:44:25 Q:-1 ID:B000344-FT Fixture:
CN:397 03/06/2022 06:36:58 Q:-1 ID:B000200-FT Fixture:
CN:397 03/06/2022 06:54:25 Q:-1 ID:B000200-FT Fixture:
CN:397 03/06/2022 08:23:46 Q:-1 ID:B000578-FT Fixture:
CN:397 03/06/2022 14:10:30 Q:-1 ID: Fixture: OUT
CN:397 03/06/2022 16:39:45 Q:-1 ID:B000375-FT Fixture:
CN:397 03/06/2022 22:55:03 Q:-1 ID:B000414-FT Fixture:
CN:397 04/06/2022 06:44:06 Q:-1 ID:B000200-FT Fixture:
CN:397 04/06/2022 06:51:47 Q:-1 ID:B000578-FT Fixture:
