CN:440 06/10/2022 06:35:42 Q:-1 ID:B000320-FT Fixture:
CN:440 06/10/2022 08:33:51 Q:1 ID: Fixture: IN QTD:80
CN:440 06/10/2022 08:33:55 Q:-2 ID: Fixture: OUT QTD:78
CN:440 06/10/2022 09:04:20 Q:-1 ID:B000597-FT Fixture:
CN:440 06/10/2022 12:47:14 Q:-1 ID: Fixture: OUT QTD:76
CN:440 06/10/2022 14:47:53 Q:-1 ID:B000320-FT Fixture:
CN:440 06/10/2022 14:58:08 Q:-1 ID:B000488-FT Fixture:
CN:440 06/10/2022 18:04:36 Q:-1 ID:B000369-FT Fixture:
CN:440 07/10/2022 06:29:16 Q:-228 ID:B000320-FT Fixture:
CN:440 07/10/2022 09:43:25 Q:-2 ID: Fixture: OUT QTD:71
CN:440 07/10/2022 09:43:34 Q:2 ID: Fixture: IN QTD:73
CN:440 07/10/2022 11:38:49 Q:-1 ID: Fixture: OUT QTD:72
CN:440 08/10/2022 16:11:22 Q:-1 ID: Fixture: OUT QTD:71
CN:440 08/10/2022 16:13:47 Q:-1 ID: Fixture: OUT QTD:70
CN:440 08/10/2022 16:27:54 Q:-1 ID:B000445-FT Fixture: OUT QTD:69
CN:440 10/10/2022 14:39:01 Q:-1 ID: Fixture: OUT QTD:68
